A̱o,Temperatura,Emision
1960,6.8909166667,780726.302
1961,7.0505833333,552066.85
1962,6.7036666667,440359.029
1963,7.0525,436695.696
1964,6.7460833333,436923.05
1965,6.7999166667,475972.933
1966,6.962,522789.522
1967,6.4025833333,433234.048
1968,6.727,468928.626
1969,6.456,577237.138
1970,6.5681666667,771617.474
1971,6.84625,876633.02
1972,6.8144166667,931575.681
1973,7.2095833333,968542.708
1974,6.6594166667,988014.478
1975,7.1009166667,1145607.47
1976,6.4711666667,1196193.735
1977,6.8513333333,1310310.775
1978,7.0481666667,1462168.579
1979,7.0740833333,1494859.884
1980,6.9500833333,1467192.369
1981,6.9264166667,1451501.276
1982,7.14975,1580260.647
1983,6.9250833333,1667029.201
1984,6.5179166667,1814908.31
1985,6.74025,1966553.428
1986,6.8701666667,2068969.071
1987,7.249,2209708.531
1988,7.2208333333,2369501.723
1989,7.23975,2408540.605
1990,7.636,2460744.017
1991,7.0971666667,2584538.27
1992,6.8584166667,2695982.067
1993,6.9194166667,2878694.009
1994,7.496,3058241.33
1995,7.2115833333,3320285.15
1996,6.9626666667,3463089.131
1997,7.3673333333,3469510.048
1998,8.0518333333,3324344.519
1999,7.84025,3318055.614
2000,7.2380833333,3405179.867
2001,7.5964166667,3487566.356
2002,7.7956666667,3694242.143
2003,7.522,4525177.009
2004,7.71275,5288166.032
2005,7.4135,5790016.984
2006,7.948,6414463.08
2007,8.12675,6791804.714
2008,7.5660833333,7175658.94
2009,7.8095,7618683.878
2010,7.5484166667,8767877.674
2011,7.3570833333,9724590.64
2012,7.0770833333,10020744.894
